stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
89,NE2A79SS,NE 2 AV & 79 ST,NE 2 AV & NE 79 ST,25.847193,-80.19288,,,,,,0
90,2AVE36SS,NE 2 AV & 37 ST,NE 2 AV & NE 37 ST,25.811225,-80.191414,,,,,,0
91,2AVE36SN,NE 2 AV & 37 ST,NE 2 AV & APPROX # 3699(37 ST),25.811188,-80.19119,,,,,,0
92,NE2A79SN,NE 2 AV & 79 ST,NE 2 AV & NE 79 ST,25.847818,-80.19273,,,,,,0
93,6AVE125N,NE 6 AV & 125 ST,NE 6 AV & NE 125 ST,25.889941,-80.186362,,,,,,0
94,12AV135S,NE 12 AV & 135 ST,NE 12 AV & NE 135 ST,25.900108,-80.174851,,,,,,0
95,12AV135N,NE 12 AV & 135 ST,NE 12 AV & NE 135 ST,25.899438,-80.1747,,,,,,0
97,24ST107E,SW 24 ST & SW 107 AV,,25.746606,-80.36716,,,,,,0
98,107AFLAE,W FLAGLER ST & SW 107 AV,,25.768379,-80.368422,,,,,,0
100,FLAG42AE,W FLAGLER ST & SW 42 AV,,25.771588,-80.263883,,,,,,0
101,27AVFLAE,W FLAGLER ST & SW 27 AV,,25.772222,-80.239399,,,,,,0
102,17AVS1SE,SW 1 ST & 17 AV,SW 1 ST & SW 17 AV,25.772202,-80.222148,,,,,,0
103,SE1S3AVE,SE 1 ST & 3 AV,SE 1 ST & SE 3 AV,25.773425,-80.188235,,,,,,0
104,MTROGVCT,NW 1 ST @ NW 1 AV,,25.77511,-80.19679,,,,,,0
106,17AVFLAW,W FLAGLER ST & 17 CT,W Flagler St & 17 Court,25.77297,-80.223492,,,,,,0
107,27AVFLAW,W FLAGLER ST & NW 27 AV,,25.772426,-80.238786,,,,,,0
108,FLAG42AW,W FLAGLER ST & NW 42 AV,,25.771802,-80.263429,,,,,,0
110,107AFLAW,W FLAGLER ST @ NW 107 AV,,25.76861,-80.36975,,,,,,0
112,NORTSIDT,NORTHSIDE METRORAIL STATION,NORTHSIDE STA & 3150 NW 79 ST,25.845364,-80.24912,,,,,,0
113,27AV79SS,NW 27 AV @ NW 79 ST,,25.8454,-80.24186,,,,,,0
114,71ST12AS,NW 12 AV & 70 ST,NW 12 AV & NW 70 ST,25.839163,-80.217088,,,,,,0
115,ALLAPATT,ALLAPATTAH METRORAIL STATION,ALLAPATTAH STATION & 3501 NW 12 AV,25.808148,-80.215359,,,,,,0
116,9AVE17SS,NW 9 AV & 17 ST,NW 9 AV & NW 17 ST,25.791927,-80.210322,,,,,,0
117,CIVCCNTS,NW 12 AV & 16 ST,NW 12 AV & NW 15 ST,25.789578,-80.215201,,,,,,0
118,S1ST12AS,SW 12 AV & 2 ST,SW 12 AV & SW 2 ST,25.771715,-80.214706,,,,,,0
119,VIZ-CAYT,VIZCAYA METRORAIL STATION,VIZCAYA STA & 3201 SW 1 AV,25.749628,-80.212295,,,,,,0
120,MRCYHOSP,MERCY HOSPITAL,AT MERCY HOSPITAL & MERCY WY EXIT,25.739719,-80.215569,,,,,,0
123,S1ST12AV,SW 12 AV & 1 ST,SW 12 AV & SW 1 ST,25.773111,-80.214513,,,,,,0
124,CIVCCNTN,NW 12 AV & 15 ST,NW 12 AV & NW 15 ST,25.789894,-80.214859,,,,,,0
125,9AVE17SN,NW 9 AV & 17 ST,NW 9 AV & NW 17 ST,25.791841,-80.210134,,,,,,0
127,71ST12AN,NW 71 ST & 12 AV,NW 71 ST & NW 12 AV,25.839469,-80.217376,,,,,,0
128,27AV79SN,NW 27 AV @ NW 79 TE,,25.84656,-80.2416,,,,,,0
130,7AVE183S,NW 7 AV & 183 ST,NW 7 AV & NW 183 ST,25.943235,-80.213312,,,,,,0
131,191S22AS,NW 22 AV & 190 TERR,NW 22 AV & NW 190 TE,25.947916,-80.237647,,,,,,0
