route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14456,11,4829020,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828811,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829021,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828812,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829022,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828813,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829023,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828814,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829024,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828815,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829025,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828816,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829026,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828817,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829027,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828818,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829028,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828819,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829029,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828820,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829030,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828821,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829031,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828822,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829032,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828823,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829033,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828824,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829034,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828825,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829035,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828826,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829036,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828827,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829037,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828828,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829038,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828829,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829039,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828830,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829040,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828831,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829041,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828832,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829042,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828833,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829043,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828834,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829044,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828835,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829045,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828836,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829046,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828837,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829047,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828838,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829048,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828839,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829049,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828840,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829050,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828841,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829051,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828842,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829052,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828843,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829053,DOWNTOWN,,0,1403223,123746,0,0
